domain,condition,order,metric,metric_label,n_attempted,n_valid,n_execution_errors,n_missing_metric,success_only,numerator,value,sd,lower,upper,error_minus,error_plus,error_type,source_csv
tomato,0.0,0,success,Task success (%),200,200,0,0,0,93.0,46.5,0.5000251249968752,39.718564157004025,53.41335312763685,6.781435842995975,6.913353127636853,95% Wilson CI,01_processed/episodes.csv
tomato,0.0,0,questions,Questions per episode,200,200,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,steps,Physical/planning steps,200,200,0,0,0,3203.0,16.015,8.08962205078971,15.442977339065038,16.587022660934963,0.5720226609349623,0.5720226609349623,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,seconds,Logged episode time (s),200,200,0,0,0,1023.7620000000003,5.11881,3.0462507566782504,4.903407543275816,5.334212456724184,0.2154024567241839,0.2154024567241839,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,questions_success_only,Questions (successful episodes),200,93,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,steps_success_only,Steps (successful episodes),200,93,0,0,1,1772.0,19.053763440860216,5.0376098356735595,18.53138763521098,19.576139246509452,0.5223758056492365,0.5223758056492365,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.0,0,reward,Cumulative reward,200,200,0,0,0,-645.0,-3.225,20.434338402053744,-4.6699259253152885,-1.780074074684712,1.4449259253152884,1.4449259253152882,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.1,1,success,Task success (%),200,200,0,0,0,93.0,46.5,0.5000251249968752,39.718564157004025,53.41335312763685,6.781435842995975,6.913353127636853,95% Wilson CI,01_processed/episodes.csv
tomato,0.1,1,questions,Questions per episode,200,200,0,0,0,258.0,1.29,2.479240441310432,1.1146912271757465,1.4653087728242535,0.1753087728242535,0.1753087728242535,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.1,1,steps,Physical/planning steps,200,200,0,0,0,3207.0,16.035,7.686297603805838,15.491496684213098,16.578503315786904,0.5435033157869018,0.5435033157869036,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.1,1,seconds,Logged episode time (s),200,200,0,0,0,1026.5476,5.132738,2.9067076576586537,4.92720273043427,5.33827326956573,0.20553526956572998,0.20553526956572998,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.1,1,questions_success_only,Questions (successful episodes),200,93,0,0,1,158.0,1.6989247311827957,2.7218318089931524,1.4166839204721329,1.9811655418934586,0.28224081071066287,0.28224081071066287,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.1,1,steps_success_only,Steps (successful episodes),200,93,0,0,1,1705.0,18.333333333333332,4.081595311867049,17.910091615748904,18.75657505091776,0.4232417175844283,0.4232417175844283,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.1,1,reward,Cumulative reward,200,200,0,0,0,-495.0,-2.475,19.29015097460659,-3.839019656425661,-1.1109803435743393,1.3640196564256608,1.3640196564256608,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.2,2,success,Task success (%),200,200,0,0,0,96.0,48.0,0.5008535428214359,41.1791663783233,54.89621492718576,6.820833621676698,6.89621492718576,95% Wilson CI,01_processed/episodes.csv
tomato,0.2,2,questions,Questions per episode,200,200,0,0,0,388.0,1.94,2.7812003482101795,1.7433394373942195,2.1366605626057806,0.19666056260578046,0.1966605626057807,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.2,2,steps,Physical/planning steps,200,200,0,0,0,3238.0,16.19,7.770831946820665,15.640519203494206,16.739480796505795,0.5494807965057955,0.5494807965057937,mean +/- 1 SE,01_processed/episodes.csv
