domain,condition,scene,iteration,seed,threshold,random_query_prob,gamma,n_simulations
tomato,random,1,1,487893924,0.8,0.4,0.2,100
tomato,ours-when-only,1,1,487893924,0.8,0.4,0.2,100
tomato,ours-what-only,1,1,487893924,0.8,0.4,0.2,100
tomato,ours,1,1,487893924,0.8,0.4,0.2,100
tomato,random,1,2,3132639812,0.8,0.4,0.2,100
tomato,ours-when-only,1,2,3132639812,0.8,0.4,0.2,100
tomato,ours-what-only,1,2,3132639812,0.8,0.4,0.2,100
tomato,ours,1,2,3132639812,0.8,0.4,0.2,100
tomato,random,1,3,2704735955,0.8,0.4,0.2,100
tomato,ours-when-only,1,3,2704735955,0.8,0.4,0.2,100
tomato,ours-what-only,1,3,2704735955,0.8,0.4,0.2,100
tomato,ours,1,3,2704735955,0.8,0.4,0.2,100
tomato,random,1,4,2388827117,0.8,0.4,0.2,100
tomato,ours-when-only,1,4,2388827117,0.8,0.4,0.2,100
tomato,ours-what-only,1,4,2388827117,0.8,0.4,0.2,100
tomato,ours,1,4,2388827117,0.8,0.4,0.2,100
tomato,random,1,5,410058075,0.8,0.4,0.2,100
tomato,ours-when-only,1,5,410058075,0.8,0.4,0.2,100
tomato,ours-what-only,1,5,410058075,0.8,0.4,0.2,100
tomato,ours,1,5,410058075,0.8,0.4,0.2,100
tomato,random,1,6,662202859,0.8,0.4,0.2,100
tomato,ours-when-only,1,6,662202859,0.8,0.4,0.2,100
tomato,ours-what-only,1,6,662202859,0.8,0.4,0.2,100
tomato,ours,1,6,662202859,0.8,0.4,0.2,100
tomato,random,1,7,3043225376,0.8,0.4,0.2,100
tomato,ours-when-only,1,7,3043225376,0.8,0.4,0.2,100
tomato,ours-what-only,1,7,3043225376,0.8,0.4,0.2,100
tomato,ours,1,7,3043225376,0.8,0.4,0.2,100
tomato,random,1,8,3056805608,0.8,0.4,0.2,100
tomato,ours-when-only,1,8,3056805608,0.8,0.4,0.2,100
tomato,ours-what-only,1,8,3056805608,0.8,0.4,0.2,100
tomato,ours,1,8,3056805608,0.8,0.4,0.2,100
tomato,random,1,9,4065734105,0.8,0.4,0.2,100
tomato,ours-when-only,1,9,4065734105,0.8,0.4,0.2,100
tomato,ours-what-only,1,9,4065734105,0.8,0.4,0.2,100
tomato,ours,1,9,4065734105,0.8,0.4,0.2,100
tomato,random,1,10,1621659147,0.8,0.4,0.2,100
tomato,ours-when-only,1,10,1621659147,0.8,0.4,0.2,100
tomato,ours-what-only,1,10,1621659147,0.8,0.4,0.2,100
tomato,ours,1,10,1621659147,0.8,0.4,0.2,100
tomato,random,1,11,740526527,0.8,0.4,0.2,100
tomato,ours-when-only,1,11,740526527,0.8,0.4,0.2,100
tomato,ours-what-only,1,11,740526527,0.8,0.4,0.2,100
tomato,ours,1,11,740526527,0.8,0.4,0.2,100
tomato,random,1,12,2583862151,0.8,0.4,0.2,100
tomato,ours-when-only,1,12,2583862151,0.8,0.4,0.2,100
tomato,ours-what-only,1,12,2583862151,0.8,0.4,0.2,100
tomato,ours,1,12,2583862151,0.8,0.4,0.2,100
tomato,random,1,13,1121448669,0.8,0.4,0.2,100
tomato,ours-when-only,1,13,1121448669,0.8,0.4,0.2,100
tomato,ours-what-only,1,13,1121448669,0.8,0.4,0.2,100
tomato,ours,1,13,1121448669,0.8,0.4,0.2,100
tomato,random,1,14,1982835210,0.8,0.4,0.2,100
tomato,ours-when-only,1,14,1982835210,0.8,0.4,0.2,100
tomato,ours-what-only,1,14,1982835210,0.8,0.4,0.2,100
tomato,ours,1,14,1982835210,0.8,0.4,0.2,100
tomato,random,1,15,1497252076,0.8,0.4,0.2,100
tomato,ours-when-only,1,15,1497252076,0.8,0.4,0.2,100
tomato,ours-what-only,1,15,1497252076,0.8,0.4,0.2,100
tomato,ours,1,15,1497252076,0.8,0.4,0.2,100
tomato,random,1,16,2288196031,0.8,0.4,0.2,100
tomato,ours-when-only,1,16,2288196031,0.8,0.4,0.2,100
tomato,ours-what-only,1,16,2288196031,0.8,0.4,0.2,100
tomato,ours,1,16,2288196031,0.8,0.4,0.2,100
tomato,random,1,17,325816739,0.8,0.4,0.2,100
tomato,ours-when-only,1,17,325816739,0.8,0.4,0.2,100
tomato,ours-what-only,1,17,325816739,0.8,0.4,0.2,100
tomato,ours,1,17,325816739,0.8,0.4,0.2,100
tomato,random,1,18,2372245970,0.8,0.4,0.2,100
tomato,ours-when-only,1,18,2372245970,0.8,0.4,0.2,100
tomato,ours-what-only,1,18,2372245970,0.8,0.4,0.2,100
tomato,ours,1,18,2372245970,0.8,0.4,0.2,100
tomato,random,1,19,4234262604,0.8,0.4,0.2,100
tomato,ours-when-only,1,19,4234262604,0.8,0.4,0.2,100
tomato,ours-what-only,1,19,4234262604,0.8,0.4,0.2,100
tomato,ours,1,19,4234262604,0.8,0.4,0.2,100
tomato,random,1,20,844112718,0.8,0.4,0.2,100
tomato,ours-when-only,1,20,844112718,0.8,0.4,0.2,100
tomato,ours-what-only,1,20,844112718,0.8,0.4,0.2,100
tomato,ours,1,20,844112718,0.8,0.4,0.2,100
tomato,random,1,21,282273988,0.8,0.4,0.2,100
tomato,ours-when-only,1,21,282273988,0.8,0.4,0.2,100
tomato,ours-what-only,1,21,282273988,0.8,0.4,0.2,100
tomato,ours,1,21,282273988,0.8,0.4,0.2,100
tomato,random,1,22,2375471847,0.8,0.4,0.2,100
tomato,ours-when-only,1,22,2375471847,0.8,0.4,0.2,100
tomato,ours-what-only,1,22,2375471847,0.8,0.4,0.2,100
tomato,ours,1,22,2375471847,0.8,0.4,0.2,100
tomato,random,1,23,3029309412,0.8,0.4,0.2,100
tomato,ours-when-only,1,23,3029309412,0.8,0.4,0.2,100
tomato,ours-what-only,1,23,3029309412,0.8,0.4,0.2,100
tomato,ours,1,23,3029309412,0.8,0.4,0.2,100
tomato,random,1,24,2422134993,0.8,0.4,0.2,100
tomato,ours-when-only,1,24,2422134993,0.8,0.4,0.2,100
tomato,ours-what-only,1,24,2422134993,0.8,0.4,0.2,100
tomato,ours,1,24,2422134993,0.8,0.4,0.2,100
tomato,random,1,25,443557361,0.8,0.4,0.2,100
tomato,ours-when-only,1,25,443557361,0.8,0.4,0.2,100
tomato,ours-what-only,1,25,443557361,0.8,0.4,0.2,100
tomato,ours,1,25,443557361,0.8,0.4,0.2,100
tomato,random,1,26,2928576748,0.8,0.4,0.2,100
tomato,ours-when-only,1,26,2928576748,0.8,0.4,0.2,100
tomato,ours-what-only,1,26,2928576748,0.8,0.4,0.2,100
tomato,ours,1,26,2928576748,0.8,0.4,0.2,100
tomato,random,1,27,29872548,0.8,0.4,0.2,100
tomato,ours-when-only,1,27,29872548,0.8,0.4,0.2,100
tomato,ours-what-only,1,27,29872548,0.8,0.4,0.2,100
tomato,ours,1,27,29872548,0.8,0.4,0.2,100
tomato,random,1,28,1671426344,0.8,0.4,0.2,100
tomato,ours-when-only,1,28,1671426344,0.8,0.4,0.2,100
tomato,ours-what-only,1,28,1671426344,0.8,0.4,0.2,100
tomato,ours,1,28,1671426344,0.8,0.4,0.2,100
tomato,random,1,29,1670682685,0.8,0.4,0.2,100
tomato,ours-when-only,1,29,1670682685,0.8,0.4,0.2,100
tomato,ours-what-only,1,29,1670682685,0.8,0.4,0.2,100
tomato,ours,1,29,1670682685,0.8,0.4,0.2,100
tomato,random,1,30,4196607210,0.8,0.4,0.2,100
tomato,ours-when-only,1,30,4196607210,0.8,0.4,0.2,100
tomato,ours-what-only,1,30,4196607210,0.8,0.4,0.2,100
tomato,ours,1,30,4196607210,0.8,0.4,0.2,100
tomato,random,1,31,780467458,0.8,0.4,0.2,100
tomato,ours-when-only,1,31,780467458,0.8,0.4,0.2,100
tomato,ours-what-only,1,31,780467458,0.8,0.4,0.2,100
tomato,ours,1,31,780467458,0.8,0.4,0.2,100
tomato,random,1,32,3523131613,0.8,0.4,0.2,100
tomato,ours-when-only,1,32,3523131613,0.8,0.4,0.2,100
tomato,ours-what-only,1,32,3523131613,0.8,0.4,0.2,100
tomato,ours,1,32,3523131613,0.8,0.4,0.2,100
tomato,random,1,33,1342751743,0.8,0.4,0.2,100
tomato,ours-when-only,1,33,1342751743,0.8,0.4,0.2,100
tomato,ours-what-only,1,33,1342751743,0.8,0.4,0.2,100
tomato,ours,1,33,1342751743,0.8,0.4,0.2,100
tomato,random,1,34,3245739635,0.8,0.4,0.2,100
tomato,ours-when-only,1,34,3245739635,0.8,0.4,0.2,100
tomato,ours-what-only,1,34,3245739635,0.8,0.4,0.2,100
tomato,ours,1,34,3245739635,0.8,0.4,0.2,100
tomato,random,1,35,4114179354,0.8,0.4,0.2,100
tomato,ours-when-only,1,35,4114179354,0.8,0.4,0.2,100
tomato,ours-what-only,1,35,4114179354,0.8,0.4,0.2,100
tomato,ours,1,35,4114179354,0.8,0.4,0.2,100
tomato,random,1,36,2506283141,0.8,0.4,0.2,100
tomato,ours-when-only,1,36,2506283141,0.8,0.4,0.2,100
tomato,ours-what-only,1,36,2506283141,0.8,0.4,0.2,100
tomato,ours,1,36,2506283141,0.8,0.4,0.2,100
tomato,random,1,37,985293946,0.8,0.4,0.2,100
tomato,ours-when-only,1,37,985293946,0.8,0.4,0.2,100
tomato,ours-what-only,1,37,985293946,0.8,0.4,0.2,100
tomato,ours,1,37,985293946,0.8,0.4,0.2,100
tomato,random,1,38,2227324014,0.8,0.4,0.2,100
tomato,ours-when-only,1,38,2227324014,0.8,0.4,0.2,100
tomato,ours-what-only,1,38,2227324014,0.8,0.4,0.2,100
tomato,ours,1,38,2227324014,0.8,0.4,0.2,100
tomato,random,1,39,681768926,0.8,0.4,0.2,100
tomato,ours-when-only,1,39,681768926,0.8,0.4,0.2,100
tomato,ours-what-only,1,39,681768926,0.8,0.4,0.2,100
tomato,ours,1,39,681768926,0.8,0.4,0.2,100
tomato,random,1,40,497611263,0.8,0.4,0.2,100
tomato,ours-when-only,1,40,497611263,0.8,0.4,0.2,100
tomato,ours-what-only,1,40,497611263,0.8,0.4,0.2,100
tomato,ours,1,40,497611263,0.8,0.4,0.2,100
tomato,random,2,1,282239643,0.8,0.4,0.2,100
tomato,ours-when-only,2,1,282239643,0.8,0.4,0.2,100
tomato,ours-what-only,2,1,282239643,0.8,0.4,0.2,100
tomato,ours,2,1,282239643,0.8,0.4,0.2,100
tomato,random,2,2,1188926207,0.8,0.4,0.2,100
tomato,ours-when-only,2,2,1188926207,0.8,0.4,0.2,100
tomato,ours-what-only,2,2,1188926207,0.8,0.4,0.2,100
tomato,ours,2,2,1188926207,0.8,0.4,0.2,100
tomato,random,2,3,958115806,0.8,0.4,0.2,100
tomato,ours-when-only,2,3,958115806,0.8,0.4,0.2,100
tomato,ours-what-only,2,3,958115806,0.8,0.4,0.2,100
tomato,ours,2,3,958115806,0.8,0.4,0.2,100
tomato,random,2,4,518127629,0.8,0.4,0.2,100
tomato,ours-when-only,2,4,518127629,0.8,0.4,0.2,100
tomato,ours-what-only,2,4,518127629,0.8,0.4,0.2,100
tomato,ours,2,4,518127629,0.8,0.4,0.2,100
tomato,random,2,5,2378756085,0.8,0.4,0.2,100
tomato,ours-when-only,2,5,2378756085,0.8,0.4,0.2,100
tomato,ours-what-only,2,5,2378756085,0.8,0.4,0.2,100
tomato,ours,2,5,2378756085,0.8,0.4,0.2,100
tomato,random,2,6,2747580403,0.8,0.4,0.2,100
tomato,ours-when-only,2,6,2747580403,0.8,0.4,0.2,100
tomato,ours-what-only,2,6,2747580403,0.8,0.4,0.2,100
tomato,ours,2,6,2747580403,0.8,0.4,0.2,100
tomato,random,2,7,1759923998,0.8,0.4,0.2,100
tomato,ours-when-only,2,7,1759923998,0.8,0.4,0.2,100
tomato,ours-what-only,2,7,1759923998,0.8,0.4,0.2,100
tomato,ours,2,7,1759923998,0.8,0.4,0.2,100
tomato,random,2,8,3209161045,0.8,0.4,0.2,100
tomato,ours-when-only,2,8,3209161045,0.8,0.4,0.2,100
tomato,ours-what-only,2,8,3209161045,0.8,0.4,0.2,100
tomato,ours,2,8,3209161045,0.8,0.4,0.2,100
tomato,random,2,9,1624262138,0.8,0.4,0.2,100
tomato,ours-when-only,2,9,1624262138,0.8,0.4,0.2,100
tomato,ours-what-only,2,9,1624262138,0.8,0.4,0.2,100
tomato,ours,2,9,1624262138,0.8,0.4,0.2,100
tomato,random,2,10,1274813025,0.8,0.4,0.2,100
tomato,ours-when-only,2,10,1274813025,0.8,0.4,0.2,100
tomato,ours-what-only,2,10,1274813025,0.8,0.4,0.2,100
tomato,ours,2,10,1274813025,0.8,0.4,0.2,100
tomato,random,2,11,3133792853,0.8,0.4,0.2,100
tomato,ours-when-only,2,11,3133792853,0.8,0.4,0.2,100
tomato,ours-what-only,2,11,3133792853,0.8,0.4,0.2,100
tomato,ours,2,11,3133792853,0.8,0.4,0.2,100
tomato,random,2,12,570928916,0.8,0.4,0.2,100
tomato,ours-when-only,2,12,570928916,0.8,0.4,0.2,100
tomato,ours-what-only,2,12,570928916,0.8,0.4,0.2,100
tomato,ours,2,12,570928916,0.8,0.4,0.2,100
tomato,random,2,13,3526303372,0.8,0.4,0.2,100
tomato,ours-when-only,2,13,3526303372,0.8,0.4,0.2,100
tomato,ours-what-only,2,13,3526303372,0.8,0.4,0.2,100
tomato,ours,2,13,3526303372,0.8,0.4,0.2,100
tomato,random,2,14,2369645471,0.8,0.4,0.2,100
tomato,ours-when-only,2,14,2369645471,0.8,0.4,0.2,100
tomato,ours-what-only,2,14,2369645471,0.8,0.4,0.2,100
tomato,ours,2,14,2369645471,0.8,0.4,0.2,100
tomato,random,2,15,93180092,0.8,0.4,0.2,100
tomato,ours-when-only,2,15,93180092,0.8,0.4,0.2,100
tomato,ours-what-only,2,15,93180092,0.8,0.4,0.2,100
tomato,ours,2,15,93180092,0.8,0.4,0.2,100
tomato,random,2,16,498449883,0.8,0.4,0.2,100
tomato,ours-when-only,2,16,498449883,0.8,0.4,0.2,100
tomato,ours-what-only,2,16,498449883,0.8,0.4,0.2,100
tomato,ours,2,16,498449883,0.8,0.4,0.2,100
tomato,random,2,17,2811088975,0.8,0.4,0.2,100
tomato,ours-when-only,2,17,2811088975,0.8,0.4,0.2,100
tomato,ours-what-only,2,17,2811088975,0.8,0.4,0.2,100
tomato,ours,2,17,2811088975,0.8,0.4,0.2,100
tomato,random,2,18,201296522,0.8,0.4,0.2,100
tomato,ours-when-only,2,18,201296522,0.8,0.4,0.2,100
tomato,ours-what-only,2,18,201296522,0.8,0.4,0.2,100
tomato,ours,2,18,201296522,0.8,0.4,0.2,100
tomato,random,2,19,569298550,0.8,0.4,0.2,100
tomato,ours-when-only,2,19,569298550,0.8,0.4,0.2,100
tomato,ours-what-only,2,19,569298550,0.8,0.4,0.2,100
tomato,ours,2,19,569298550,0.8,0.4,0.2,100
tomato,random,2,20,3307630596,0.8,0.4,0.2,100
tomato,ours-when-only,2,20,3307630596,0.8,0.4,0.2,100
tomato,ours-what-only,2,20,3307630596,0.8,0.4,0.2,100
tomato,ours,2,20,3307630596,0.8,0.4,0.2,100
tomato,random,2,21,1669159823,0.8,0.4,0.2,100
tomato,ours-when-only,2,21,1669159823,0.8,0.4,0.2,100
tomato,ours-what-only,2,21,1669159823,0.8,0.4,0.2,100
tomato,ours,2,21,1669159823,0.8,0.4,0.2,100
tomato,random,2,22,1948822790,0.8,0.4,0.2,100
tomato,ours-when-only,2,22,1948822790,0.8,0.4,0.2,100
tomato,ours-what-only,2,22,1948822790,0.8,0.4,0.2,100
tomato,ours,2,22,1948822790,0.8,0.4,0.2,100
tomato,random,2,23,2466769226,0.8,0.4,0.2,100
tomato,ours-when-only,2,23,2466769226,0.8,0.4,0.2,100
tomato,ours-what-only,2,23,2466769226,0.8,0.4,0.2,100
tomato,ours,2,23,2466769226,0.8,0.4,0.2,100
tomato,random,2,24,1270024695,0.8,0.4,0.2,100
tomato,ours-when-only,2,24,1270024695,0.8,0.4,0.2,100
tomato,ours-what-only,2,24,1270024695,0.8,0.4,0.2,100
tomato,ours,2,24,1270024695,0.8,0.4,0.2,100
tomato,random,2,25,3163421415,0.8,0.4,0.2,100
tomato,ours-when-only,2,25,3163421415,0.8,0.4,0.2,100
tomato,ours-what-only,2,25,3163421415,0.8,0.4,0.2,100
tomato,ours,2,25,3163421415,0.8,0.4,0.2,100
tomato,random,2,26,2221780279,0.8,0.4,0.2,100
tomato,ours-when-only,2,26,2221780279,0.8,0.4,0.2,100
tomato,ours-what-only,2,26,2221780279,0.8,0.4,0.2,100
tomato,ours,2,26,2221780279,0.8,0.4,0.2,100
tomato,random,2,27,2552658842,0.8,0.4,0.2,100
tomato,ours-when-only,2,27,2552658842,0.8,0.4,0.2,100
tomato,ours-what-only,2,27,2552658842,0.8,0.4,0.2,100
tomato,ours,2,27,2552658842,0.8,0.4,0.2,100
tomato,random,2,28,2732545871,0.8,0.4,0.2,100
tomato,ours-when-only,2,28,2732545871,0.8,0.4,0.2,100
tomato,ours-what-only,2,28,2732545871,0.8,0.4,0.2,100
tomato,ours,2,28,2732545871,0.8,0.4,0.2,100
tomato,random,2,29,3674034623,0.8,0.4,0.2,100
tomato,ours-when-only,2,29,3674034623,0.8,0.4,0.2,100
tomato,ours-what-only,2,29,3674034623,0.8,0.4,0.2,100
tomato,ours,2,29,3674034623,0.8,0.4,0.2,100
tomato,random,2,30,2164186838,0.8,0.4,0.2,100
tomato,ours-when-only,2,30,2164186838,0.8,0.4,0.2,100
tomato,ours-what-only,2,30,2164186838,0.8,0.4,0.2,100
tomato,ours,2,30,2164186838,0.8,0.4,0.2,100
tomato,random,2,31,3993094514,0.8,0.4,0.2,100
tomato,ours-when-only,2,31,3993094514,0.8,0.4,0.2,100
tomato,ours-what-only,2,31,3993094514,0.8,0.4,0.2,100
tomato,ours,2,31,3993094514,0.8,0.4,0.2,100
tomato,random,2,32,4138692170,0.8,0.4,0.2,100
tomato,ours-when-only,2,32,4138692170,0.8,0.4,0.2,100
tomato,ours-what-only,2,32,4138692170,0.8,0.4,0.2,100
tomato,ours,2,32,4138692170,0.8,0.4,0.2,100
tomato,random,2,33,3132029831,0.8,0.4,0.2,100
tomato,ours-when-only,2,33,3132029831,0.8,0.4,0.2,100
tomato,ours-what-only,2,33,3132029831,0.8,0.4,0.2,100
tomato,ours,2,33,3132029831,0.8,0.4,0.2,100
tomato,random,2,34,1745857888,0.8,0.4,0.2,100
tomato,ours-when-only,2,34,1745857888,0.8,0.4,0.2,100
tomato,ours-what-only,2,34,1745857888,0.8,0.4,0.2,100
tomato,ours,2,34,1745857888,0.8,0.4,0.2,100
tomato,random,2,35,1088248331,0.8,0.4,0.2,100
tomato,ours-when-only,2,35,1088248331,0.8,0.4,0.2,100
tomato,ours-what-only,2,35,1088248331,0.8,0.4,0.2,100
tomato,ours,2,35,1088248331,0.8,0.4,0.2,100
tomato,random,2,36,147433855,0.8,0.4,0.2,100
tomato,ours-when-only,2,36,147433855,0.8,0.4,0.2,100
tomato,ours-what-only,2,36,147433855,0.8,0.4,0.2,100
tomato,ours,2,36,147433855,0.8,0.4,0.2,100
tomato,random,2,37,1087624401,0.8,0.4,0.2,100
tomato,ours-when-only,2,37,1087624401,0.8,0.4,0.2,100
tomato,ours-what-only,2,37,1087624401,0.8,0.4,0.2,100
tomato,ours,2,37,1087624401,0.8,0.4,0.2,100
tomato,random,2,38,1642003043,0.8,0.4,0.2,100
tomato,ours-when-only,2,38,1642003043,0.8,0.4,0.2,100
tomato,ours-what-only,2,38,1642003043,0.8,0.4,0.2,100
tomato,ours,2,38,1642003043,0.8,0.4,0.2,100
tomato,random,2,39,2050011048,0.8,0.4,0.2,100
tomato,ours-when-only,2,39,2050011048,0.8,0.4,0.2,100
tomato,ours-what-only,2,39,2050011048,0.8,0.4,0.2,100
tomato,ours,2,39,2050011048,0.8,0.4,0.2,100
tomato,random,2,40,1859058979,0.8,0.4,0.2,100
tomato,ours-when-only,2,40,1859058979,0.8,0.4,0.2,100
tomato,ours-what-only,2,40,1859058979,0.8,0.4,0.2,100
tomato,ours,2,40,1859058979,0.8,0.4,0.2,100
tomato,random,3,1,4180924638,0.8,0.4,0.2,100
tomato,ours-when-only,3,1,4180924638,0.8,0.4,0.2,100
tomato,ours-what-only,3,1,4180924638,0.8,0.4,0.2,100
tomato,ours,3,1,4180924638,0.8,0.4,0.2,100
tomato,random,3,2,3765929846,0.8,0.4,0.2,100
tomato,ours-when-only,3,2,3765929846,0.8,0.4,0.2,100
tomato,ours-what-only,3,2,3765929846,0.8,0.4,0.2,100
tomato,ours,3,2,3765929846,0.8,0.4,0.2,100
tomato,random,3,3,2863258431,0.8,0.4,0.2,100
tomato,ours-when-only,3,3,2863258431,0.8,0.4,0.2,100
tomato,ours-what-only,3,3,2863258431,0.8,0.4,0.2,100
tomato,ours,3,3,2863258431,0.8,0.4,0.2,100
tomato,random,3,4,2318902210,0.8,0.4,0.2,100
tomato,ours-when-only,3,4,2318902210,0.8,0.4,0.2,100
tomato,ours-what-only,3,4,2318902210,0.8,0.4,0.2,100
tomato,ours,3,4,2318902210,0.8,0.4,0.2,100
tomato,random,3,5,2161489050,0.8,0.4,0.2,100
tomato,ours-when-only,3,5,2161489050,0.8,0.4,0.2,100
tomato,ours-what-only,3,5,2161489050,0.8,0.4,0.2,100
tomato,ours,3,5,2161489050,0.8,0.4,0.2,100
tomato,random,3,6,1859994980,0.8,0.4,0.2,100
tomato,ours-when-only,3,6,1859994980,0.8,0.4,0.2,100
tomato,ours-what-only,3,6,1859994980,0.8,0.4,0.2,100
tomato,ours,3,6,1859994980,0.8,0.4,0.2,100
tomato,random,3,7,1068358764,0.8,0.4,0.2,100
tomato,ours-when-only,3,7,1068358764,0.8,0.4,0.2,100
tomato,ours-what-only,3,7,1068358764,0.8,0.4,0.2,100
tomato,ours,3,7,1068358764,0.8,0.4,0.2,100
tomato,random,3,8,2313290673,0.8,0.4,0.2,100
tomato,ours-when-only,3,8,2313290673,0.8,0.4,0.2,100
tomato,ours-what-only,3,8,2313290673,0.8,0.4,0.2,100
tomato,ours,3,8,2313290673,0.8,0.4,0.2,100
tomato,random,3,9,496575395,0.8,0.4,0.2,100
tomato,ours-when-only,3,9,496575395,0.8,0.4,0.2,100
tomato,ours-what-only,3,9,496575395,0.8,0.4,0.2,100
tomato,ours,3,9,496575395,0.8,0.4,0.2,100
tomato,random,3,10,3428068778,0.8,0.4,0.2,100
tomato,ours-when-only,3,10,3428068778,0.8,0.4,0.2,100
tomato,ours-what-only,3,10,3428068778,0.8,0.4,0.2,100
tomato,ours,3,10,3428068778,0.8,0.4,0.2,100
tomato,random,3,11,3099485200,0.8,0.4,0.2,100
tomato,ours-when-only,3,11,3099485200,0.8,0.4,0.2,100
tomato,ours-what-only,3,11,3099485200,0.8,0.4,0.2,100
tomato,ours,3,11,3099485200,0.8,0.4,0.2,100
tomato,random,3,12,29792732,0.8,0.4,0.2,100
tomato,ours-when-only,3,12,29792732,0.8,0.4,0.2,100
tomato,ours-what-only,3,12,29792732,0.8,0.4,0.2,100
tomato,ours,3,12,29792732,0.8,0.4,0.2,100
tomato,random,3,13,576686734,0.8,0.4,0.2,100
tomato,ours-when-only,3,13,576686734,0.8,0.4,0.2,100
tomato,ours-what-only,3,13,576686734,0.8,0.4,0.2,100
tomato,ours,3,13,576686734,0.8,0.4,0.2,100
tomato,random,3,14,398375254,0.8,0.4,0.2,100
tomato,ours-when-only,3,14,398375254,0.8,0.4,0.2,100
tomato,ours-what-only,3,14,398375254,0.8,0.4,0.2,100
tomato,ours,3,14,398375254,0.8,0.4,0.2,100
tomato,random,3,15,2697677148,0.8,0.4,0.2,100
tomato,ours-when-only,3,15,2697677148,0.8,0.4,0.2,100
tomato,ours-what-only,3,15,2697677148,0.8,0.4,0.2,100
tomato,ours,3,15,2697677148,0.8,0.4,0.2,100
tomato,random,3,16,3152954537,0.8,0.4,0.2,100
tomato,ours-when-only,3,16,3152954537,0.8,0.4,0.2,100
tomato,ours-what-only,3,16,3152954537,0.8,0.4,0.2,100
tomato,ours,3,16,3152954537,0.8,0.4,0.2,100
tomato,random,3,17,2879755664,0.8,0.4,0.2,100
tomato,ours-when-only,3,17,2879755664,0.8,0.4,0.2,100
tomato,ours-what-only,3,17,2879755664,0.8,0.4,0.2,100
tomato,ours,3,17,2879755664,0.8,0.4,0.2,100
tomato,random,3,18,3477809181,0.8,0.4,0.2,100
tomato,ours-when-only,3,18,3477809181,0.8,0.4,0.2,100
tomato,ours-what-only,3,18,3477809181,0.8,0.4,0.2,100
tomato,ours,3,18,3477809181,0.8,0.4,0.2,100
tomato,random,3,19,2044981513,0.8,0.4,0.2,100
tomato,ours-when-only,3,19,2044981513,0.8,0.4,0.2,100
tomato,ours-what-only,3,19,2044981513,0.8,0.4,0.2,100
tomato,ours,3,19,2044981513,0.8,0.4,0.2,100
tomato,random,3,20,4230398581,0.8,0.4,0.2,100
tomato,ours-when-only,3,20,4230398581,0.8,0.4,0.2,100
tomato,ours-what-only,3,20,4230398581,0.8,0.4,0.2,100
tomato,ours,3,20,4230398581,0.8,0.4,0.2,100
tomato,random,3,21,3263203136,0.8,0.4,0.2,100
tomato,ours-when-only,3,21,3263203136,0.8,0.4,0.2,100
tomato,ours-what-only,3,21,3263203136,0.8,0.4,0.2,100
tomato,ours,3,21,3263203136,0.8,0.4,0.2,100
tomato,random,3,22,967820595,0.8,0.4,0.2,100
tomato,ours-when-only,3,22,967820595,0.8,0.4,0.2,100
tomato,ours-what-only,3,22,967820595,0.8,0.4,0.2,100
tomato,ours,3,22,967820595,0.8,0.4,0.2,100
tomato,random,3,23,1796768417,0.8,0.4,0.2,100
tomato,ours-when-only,3,23,1796768417,0.8,0.4,0.2,100
tomato,ours-what-only,3,23,1796768417,0.8,0.4,0.2,100
tomato,ours,3,23,1796768417,0.8,0.4,0.2,100
tomato,random,3,24,4030588023,0.8,0.4,0.2,100
tomato,ours-when-only,3,24,4030588023,0.8,0.4,0.2,100
tomato,ours-what-only,3,24,4030588023,0.8,0.4,0.2,100
tomato,ours,3,24,4030588023,0.8,0.4,0.2,100
tomato,random,3,25,3228786789,0.8,0.4,0.2,100
tomato,ours-when-only,3,25,3228786789,0.8,0.4,0.2,100
tomato,ours-what-only,3,25,3228786789,0.8,0.4,0.2,100
tomato,ours,3,25,3228786789,0.8,0.4,0.2,100
tomato,random,3,26,3474177477,0.8,0.4,0.2,100
tomato,ours-when-only,3,26,3474177477,0.8,0.4,0.2,100
tomato,ours-what-only,3,26,3474177477,0.8,0.4,0.2,100
tomato,ours,3,26,3474177477,0.8,0.4,0.2,100
tomato,random,3,27,3358297345,0.8,0.4,0.2,100
tomato,ours-when-only,3,27,3358297345,0.8,0.4,0.2,100
tomato,ours-what-only,3,27,3358297345,0.8,0.4,0.2,100
tomato,ours,3,27,3358297345,0.8,0.4,0.2,100
tomato,random,3,28,233779590,0.8,0.4,0.2,100
tomato,ours-when-only,3,28,233779590,0.8,0.4,0.2,100
tomato,ours-what-only,3,28,233779590,0.8,0.4,0.2,100
tomato,ours,3,28,233779590,0.8,0.4,0.2,100
tomato,random,3,29,2007776939,0.8,0.4,0.2,100
tomato,ours-when-only,3,29,2007776939,0.8,0.4,0.2,100
tomato,ours-what-only,3,29,2007776939,0.8,0.4,0.2,100
tomato,ours,3,29,2007776939,0.8,0.4,0.2,100
tomato,random,3,30,2922766578,0.8,0.4,0.2,100
tomato,ours-when-only,3,30,2922766578,0.8,0.4,0.2,100
tomato,ours-what-only,3,30,2922766578,0.8,0.4,0.2,100
tomato,ours,3,30,2922766578,0.8,0.4,0.2,100
tomato,random,3,31,1196868928,0.8,0.4,0.2,100
tomato,ours-when-only,3,31,1196868928,0.8,0.4,0.2,100
tomato,ours-what-only,3,31,1196868928,0.8,0.4,0.2,100
