global_index,domain,scene,model,qhat_target,qhat,temperature,prompt_version,seed_mode,max_steps,auto_answer
1,tomato,01,gpt-4o,95,0.9195,5.0,v2,random,50,true
2,tomato,01,gpt-4o,95,0.9195,5.0,v2,random,50,true
3,tomato,01,gpt-4o,95,0.9195,5.0,v2,random,50,true
4,tomato,01,gpt-4o,95,0.9195,5.0,v2,random,50,true
5,tomato,01,gpt-4o,95,0.9195,5.0,v2,random,50,true
6,tomato,01,gpt-4o,95,0.9195,5.0,v2,random,50,true
7,tomato,01,gpt-4o,95,0.9195,5.0,v2,random,50,true
8,tomato,01,gpt-4o,95,0.9195,5.0,v2,random,50,true
9,tomato,01,gpt-4o,95,0.9195,5.0,v2,random,50,true
10,tomato,01,gpt-4o,95,0.9195,5.0,v2,random,50,true
11,tomato,01,gpt-4o,85,0.9195,5.0,v2,random,50,true
12,tomato,01,gpt-4o,85,0.9195,5.0,v2,random,50,true
13,tomato,01,gpt-4o,85,0.9195,5.0,v2,random,50,true
14,tomato,01,gpt-4o,85,0.9195,5.0,v2,random,50,true
15,tomato,01,gpt-4o,85,0.9195,5.0,v2,random,50,true
16,tomato,01,gpt-4o,85,0.9195,5.0,v2,random,50,true
17,tomato,01,gpt-4o,85,0.9195,5.0,v2,random,50,true
18,tomato,01,gpt-4o,85,0.9195,5.0,v2,random,50,true
19,tomato,01,gpt-4o,85,0.9195,5.0,v2,random,50,true
20,tomato,01,gpt-4o,85,0.9195,5.0,v2,random,50,true
21,tomato,01,gpt-4o,75,0.5875,5.0,v2,random,50,true
22,tomato,01,gpt-4o,75,0.5875,5.0,v2,random,50,true
23,tomato,01,gpt-4o,75,0.5875,5.0,v2,random,50,true
24,tomato,01,gpt-4o,75,0.5875,5.0,v2,random,50,true
25,tomato,01,gpt-4o,75,0.5875,5.0,v2,random,50,true
26,tomato,01,gpt-4o,75,0.5875,5.0,v2,random,50,true
27,tomato,01,gpt-4o,75,0.5875,5.0,v2,random,50,true
28,tomato,01,gpt-4o,75,0.5875,5.0,v2,random,50,true
29,tomato,01,gpt-4o,75,0.5875,5.0,v2,random,50,true
30,tomato,01,gpt-4o,75,0.5875,5.0,v2,random,50,true
31,tomato,01,gpt-4o,raw98,0.98,5.0,v2,random,50,true
32,tomato,01,gpt-4o,raw98,0.98,5.0,v2,random,50,true
33,tomato,01,gpt-4o,raw98,0.98,5.0,v2,random,50,true
34,tomato,01,gpt-4o,raw98,0.98,5.0,v2,random,50,true
35,tomato,01,gpt-4o,raw98,0.98,5.0,v2,random,50,true
36,tomato,01,gpt-4o,raw98,0.98,5.0,v2,random,50,true
37,tomato,01,gpt-4o,raw98,0.98,5.0,v2,random,50,true
38,tomato,01,gpt-4o,raw98,0.98,5.0,v2,random,50,true
39,tomato,01,gpt-4o,raw98,0.98,5.0,v2,random,50,true
40,tomato,01,gpt-4o,raw98,0.98,5.0,v2,random,50,true
41,tomato,01,gpt-3.5-turbo,95,0.9583,5.0,v2,random,50,true
42,tomato,01,gpt-3.5-turbo,95,0.9583,5.0,v2,random,50,true
